nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
skiplist;8;1000000;460.003;418.564;484647;23.1807;21.3714
skiplist;8;1000000;384.61;343.381;484275;23.164;21.3195
skiplist;8;1000000;369.722;395.233;483854;23.1607;21.2895
skiplist;8;1000000;417.799;555.627;483975;23.1856;21.374
skiplist;1;5000000;2805.73;2248.31;1874393;2.53086;2.36433
skiplist;1;5000000;2910.04;2610.14;1874208;2.53073;2.36657
skiplist;1;5000000;2962.92;2035.15;1875473;2.52989;2.36637
skiplist;1;5000000;2742.85;2419.4;1875310;2.53095;2.363
skiplist;1;5000000;2636.98;2214.73;1876324;2.52967;2.36311
skiplist;8;5000000;2835.16;2132.83;2422881;23.1709;21.3346
skiplist;8;5000000;2519.61;2037.45;2421029;23.1736;21.3206
skiplist;8;5000000;3136.84;2088.84;2423033;23.1879;21.3502
skiplist;8;5000000;2660.9;2754;2421653;23.1793;21.3322
skiplist;8;5000000;2563.69;2472.69;2422708;23.1633;21.3175
